driverId,name,ssn,location,certified,wage-plan
10,Patricia Pena,455-15-0889,"PSC 7668, Box 0286
APO AA 57841",Y,miles
11,Victoria Parker,392-63-6428,"733 Cynthia Road Apt. 821
Valenzuelaview, FM 54768",N,miles
12,Sandra Macias,378-54-8057,"807 Virginia Parks
North Laurafurt, OK 58041",Y,hours
13,Rachel Guzman,058-02-5833,"6839 Michelle Turnpike
North Alyssahaven, CT 14544",N,hours
14,Sharon Sanchez,219-69-7735,"3699 Campos Alley Apt. 255
Jonesmouth, PR 80881",Y,hours
15,Brandon Williams Jr.,702-50-6077,"803 Harold Lane Apt. 247
East Christopher, NE 89375",N,hours
16,Megan Cruz,148-98-8479,"484 Alexander Unions
North Derrick, DE 70089",Y,miles
17,Marie Owens,775-96-9360,"07369 Joshua Road
South Erik, OR 93541",Y,hours
18,Meghan Williams,202-36-6176,"6611 Raymond Valley
New Michele, PR 22214",N,hours
19,Kevin Jackson,574-92-8008,"5538 Patterson Mountain
Davidberg, VT 84962",Y,hours
20,Lorraine Baker,352-02-9623,"185 Smith Motorway Suite 919
East Matthewhaven, WA 71813",Y,hours
21,Jeffrey Smith,267-88-6088,"25281 Jason Cove Apt. 553
Clineberg, SD 37520",Y,miles
22,Eric Harrell,041-22-7573,"27815 Valenzuela Ridge
Natashamouth, AK 85720",N,hours
23,Tanya Turner,142-98-0448,"535 Heath Plaza Suite 773
Lake Jennifer, NE 29622",N,miles
24,Anthony Bailey,623-05-0671,"402 Brian Run
Andersonview, FL 71901",Y,miles
25,Amy Ayala,206-62-1369,"75502 Buchanan Burg Apt. 066
Lake Justinside, MT 33076",Y,miles
26,Harold Daniels,691-29-6167,"91923 Alexandria Freeway Apt. 087
New Ashley, WV 05948",Y,hours
27,Brad Fox,778-10-2801,"697 William Plaza Apt. 543
New Jillborough, DE 11717",Y,miles
28,Brian Miller,627-22-5175,"083 Amanda Falls
Richardston, WI 21370",N,hours
29,Dr. Jimmy Riley II,356-65-5849,"45429 Myers Plains Suite 771
Port Erinchester, PA 79378",Y,hours
30,Michael Lee,435-43-4326,"904 Jonathan Run Apt. 047
Dawntown, VT 03068",N,miles
31,Michael Bailey,820-48-0361,"865 Rose Key Apt. 632
Deniseborough, ID 90603",N,miles
32,Anita Long,667-99-8535,"97122 Huffman Fort
East Jason, DE 03156",N,miles
33,Stacy Golden,593-55-3735,"997 Jessica Junction Suite 651
Wagnertown, OR 38453",Y,miles
